Fee-Earnings reports from 01-01-2025 to 12-24-2025
ストア,商品名,ASIN,出品者,トラッキングID,発送日,価格,発送済み商品,返品済み商品,売上,紹介料率,紹介料,デバイスの種類
スポーツ&フィットネス,シマノ(SHIMANO) サイクリングソックスS-PHYRE LEGGERAソックスグレーM-L (Size 41-44),B0DYHVQ9SV,Amazon.co.jp,daily-gadget-22,2025-12-22 00:00:00,1564.00,1,0,1564.0,4.03,63.00,PHONE
おもちゃ&ホビー,インディゴ クリスマス ラッピング袋 グリーティングバッグLL ギフトベア ダークグリーン XG076,B0D73VG5D3,Amazon.co.jp,daily-gadget-22,2025-12-22 00:00:00,720.00,1,0,720.0,3.06,22.00,PHONE
電子部品&ホームオーディオ,Sniokco 10K 8K HDMI 2.1ケーブル 2M、認証済み48Gbps超高速HDMI®ケーブル、0.01ms、4K 240Hz / 165Hz / 120Hz、8K 60Hz、eARC、Netflix、HDCP 2.3 / 2.2、DTS:X、HDR10+ 対応、テレビ・モニター・プロジ,B0919GTQS9,3rd Party,daily-gadget-22,2025-12-22 00:00:00,1454.00,1,0,1454.0,1.99,29.00,DESKTOP
携帯電話&アクセサリ,スピーカーメッシュ 防塵メタルガード イヤーピース メッシュダストカバー iPad Pro 11インチ 13インチ、iPad Air 6、Air 5、Air 4、Mini 6、Mini 7 2024用 (2セット/ブラック),B097Q7CD83,3rd Party,daily-gadget-22,2025-12-22 00:00:00,1817.00,1,0,1817.0,1.98,36.00,PHONE
ヘルスケア&家庭用品,トイレマジックリン ミントの香り 消臭 ・ 洗浄スプレー つめかえ用 300ml × 3個セット,B0DNWSD265,3rd Party,daily-gadget-22,2025-12-22 00:00:00,662.00,1,0,662.0,4.98,33.00,PHONE
おもちゃ&ホビー,サンリオ(SANRIO) キッズリュックM クロミ 子供 遠足 名前スペース付き 505765,B0DPBT5LH1,Amazon.co.jp,daily-gadget-22,2025-12-22 00:00:00,3824.00,1,0,3824.0,3.01,115.00,PHONE
携帯電話&アクセサリ,【新時流・折り畳み可能&超強磁力】スマホホルダー 車 車載ホルダー 携帯ホルダー マグネット スマホスタンド マグセーフ超強力 形状記憶合金 3M粘着シール 360°自由調整 安定性拔群 片手操作 取付簡単 繰り返し利用可能 車用品 iPhone/Android4-7インチ多機種と99%車種が対応（,B0DKY8FSVC,3rd Party,daily-gadget-22,2025-12-22 00:00:00,1817.00,1,0,1817.0,1.98,36.00,PHONE
電子部品&ホームオーディオ,安心の日本企業 MSL FORCE Type-C (オス) to Type-A (メス) 5Gbps データ転送 コンパクト 変換アダプター OTG対応 uc0113 USB-Cオス to USB-Aメス,B09JF83FD5,3rd Party,daily-gadget-22,2025-12-22 00:00:00,614.00,0,1,-614.0,1.95,-12.00,PHONE
Kindle書籍,ウマ娘 シンデレラグレイ 22 (ヤングジャンプコミックスDIGITAL),B0FZHVY9ZM,3rd Party,daily-gadget-22,2025-12-22 00:00:00,665.00,1,0,665.0,10.08,67.00,PHONE
Kindle書籍,あくまでクジャクの話です。（６） (コミックＤＡＹＳコミックス),B0G4CHHCT7,3rd Party,daily-gadget-22,2025-12-22 00:00:00,720.00,1,0,720.0,10.00,72.00,PHONE
Kindle書籍,平成敗残兵すみれちゃん（８） (ヤングマガジンコミックス),B0G37NRF35,3rd Party,daily-gadget-22,2025-12-22 00:00:00,720.00,1,0,720.0,10.00,72.00,PHONE
書籍&テキスト,海底のサバイバル (2) (科学漫画サバイバルシリーズ93),4023324353,Amazon.co.jp,daily-gadget-22,2025-12-22 00:00:00,1300.00,1,0,1300.0,3.00,39.00,PHONE
おもちゃ&ホビー,セガフェイブ (SEGA FAVE) PRINT CAMERA プリカ サンリオキャラクターズ,B0DWMKBQBW,3rd Party,daily-gadget-22,2025-12-21 00:00:00,6800.00,2,0,13600.0,3.00,408.00,DESKTOP
服&ファッション小物,[MaT store] 使い捨てエプロン 不織布 紙エプロン 使い捨て 大人 腰ひも付 厚手 撥水加工 (ホワイト 100枚セット),B0FQ2WDMKJ,3rd Party,daily-gadget-22,2025-12-21 00:00:00,2618.00,1,0,2618.0,7.98,209.00,TABLET
ヘルスケア&家庭用品,【Amazon.co.jp 限定】 ＮＥＷクレラップ レギュラー 30cm×50m×3本 おまけ付き,B0FYDK989G,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1045.00,1,0,1045.0,4.98,52.00,TABLET
ヘルスケア&家庭用品,Gaitatu 不織布マスク 個包装 使い捨て 3層構造 白 平ゴム 耳痛くなりにくい 日本の品質 夏用マスク大人用 (100) ふつうサイズ 50個 (x 1),B08XX2XCB4,3rd Party,daily-gadget-22,2025-12-21 00:00:00,1718.00,1,0,1718.0,5.01,86.00,TABLET
ホーム,ペーパーウェア 紙皿 18cm 増量パック 120枚 (100+20枚) 日本製 ペーパープレート E-18120,B0DK4V14YP,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,535.00,1,0,535.0,2.99,16.00,TABLET
ホーム,ストリックスデザイン 断熱 紙コップ 240ml 8オンス 72個 (24個入×3セット) リップルラップカップ ブラウン 2色アソート 3層構造 業務用 エンボス加工 MB-871 【Amazon.co.jp 限定】,B0CPSDLQR4,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1216.00,3,0,3648.0,2.96,108.00,TABLET
食品&飲料、グルメ,AGF(エージーエフ) ちょっと贅沢な珈琲店 ブラックインボックス スティックブラック 産地アソート 【 プチギフト 】【 スティックコーヒー 詰め合わせ 】【ブラジル・ブレンド、モカ・ブレンド各15本、コロンビア・ブレンド、キリマンジャロ・ブレンド各10本】 50個 (x 1),B07573V7WV,Amazon.co.jp,daily-gadget-22,2025-12-21 00:00:00,1775.00,1,0,1775.0,8.00,142.00,TABLET
